sku,brand,stock_status,sale_price,regular_price,rate,result,link,stock_quantity
V104-ZB370A,VALU/วาลู,0,"1,422.90","1,530.00",0.99,-,,0
V104-ZB750A,VALU/วาลู,0,"1,980.90","2,130.00",0.99,-,,0
V104-ZC245AL,VALU/วาลู,0,"1,422.90","1,530.00",0.99,-,,0
V104-ZC250A,VALU/วาลู,0,"1,683.30","1,810.00",0.99,-,,0
V104-ZC365AL,VALU/วาลู,0,"1,488.00","1,600.00",0.99,-,,0
V104-ZC370A,VALU/วาลู,0,"2,790.00","3,000.00",0.99,-,,0
V104-ZF300A,VALU/วาลู,0,"2,148.30","2,310.00",0.99,-,,0
V104-ZF750A,VALU/วาลู,0,"2,613.30","2,810.00",0.99,-,,0
V104P-Z370A012,VALU/วาลู,0,311.55,335.00,0.99,-,,0
Y121-1002,YORK/ยอร์ค,0,644.49,693.00,0.99,-,,0
Y121-1004,YORK/ยอร์ค,0,767.25,825.00,0.99,-,,0
Y121-1006,YORK/ยอร์ค,0,920.70,990.00,0.99,-,,0
Y121-1008,YORK/ยอร์ค,0,"1,320.60","1,420.00",0.99,-,,0
Y121-1010,YORK/ยอร์ค,0,"1,850.70","1,990.00",0.99,-,,0
Y121-1012,YORK/ยอร์ค,0,"2,362.20","2,540.00",0.99,-,,0
Y121-1014,YORK/ยอร์ค,0,"4,296.60","4,620.00",0.99,-,,0
Y121-1016,YORK/ยอร์ค,0,"6,900.60","7,420.00",0.99,-,,0
Y121-1018,YORK/ยอร์ค,0,"11,225.10","12,070.00",0.99,-,,0
Y131-0005,YAMANO,0,416.64,448.00,0.99,-,,0
Y131-0010,YAMANO,0,720.75,775.00,0.99,-,,0
Y131-0015,YAMANO,0,967.20,"1,040.00",0.99,-,,0
Y131-0020,YAMANO,0,107.88,116.00,0.99,-,,0
Y131-0025,YAMANO,0,178.56,192.00,0.99,-,,0
Y131-0030,YAMANO,0,244.59,263.00,0.99,-,,0
Y131-0035,YAMANO,0,857.46,922.00,0.99,-,,0
Y131-0040,YAMANO,0,"1,227.60","1,320.00",0.99,-,,0
Y131-0045,YAMANO,0,"1,320.60","1,420.00",0.99,-,,0
Z037-0010,ZZOther,0,159.96,172.00,0.99,-,,0
Z037-0020,ZZOther,0,178.56,192.00,0.99,-,,0
Z037-0030,ZZOther,0,211.11,227.00,0.99,-,,0
Z037-0040,ZZOther,0,847.23,911.00,0.99,-,,0
Z037-0050,ZZOther,0,229.71,247.00,0.99,-,,0
Z037-0052,ZZOther,0,"2,120.40","2,280.00",0.99,-,,0
Z037-0058,ZZOther,0,797.94,858.00,0.99,-,,0
Z037-0060,ZZOther,0,601.71,647.00,0.99,-,,0
Z037-0065,ZZOther,0,497.55,535.00,0.99,-,,0
Z037-0070,ZZOther,0,336.66,362.00,0.99,-,,0
Z037-0080,ZZOther,0,497.55,535.00,0.99,-,,0
Z037-0090,ZZOther,0,386.88,416.00,0.99,-,,0
Z037-0100,ZZOther,0,780.27,839.00,0.99,-,,0
Z037-0102,ZZOther,0,"6,844.80","7,360.00",0.99,-,,0
Z037-0110,ZZOther,0,865.83,931.00,0.99,-,,0
Z037-0150,ZZOther,0,859.32,924.00,0.99,-,,0
Z037-0155,ZZOther,0,948.60,"1,020.00",0.99,-,,0
Z037-0160,ZZOther,0,"1,357.80","1,460.00",0.99,-,,0
Z037-0220,ZZOther,0,"2,948.10","3,170.00",0.99,-,,0
Z037-0225,ZZOther,0,"3,785.10","4,070.00",0.99,-,,0
Z037-0240,ZZOther,0,"1,209.00","1,300.00",0.99,-,,0
Z037-0242,ZZOther,0,"4,798.80","5,160.00",0.99,-,,0
Z037-0250,ZZOther,0,"4,789.50","5,150.00",0.99,-,,0
Z037-0255,ZZOther,0,"4,445.40","4,780.00",0.99,-,,0
Z037-0275,ZZOther,0,"5,886.90","6,330.00",0.99,-,,0
Z037-0410,ZZOther,0,"6,723.90","7,230.00",0.99,-,,0
Z037-0420,ZZOther,0,"7,560.90","8,130.00",0.99,-,,0
Z037-0450,ZZOther,0,"8,184.00","8,800.00",0.99,-,,0
Z037-0460,ZZOther,0,706.80,760.00,0.99,-,,0
Z091-000210,ZZสินค้าSample,0,"1,348.50","1,450.00",0.99,-,,0
Z091-000271,ZZสินค้าSample,0,"2,985.30","3,210.00",0.99,-,,0
A131-1475,ANA/เอน่า,0,332.94,358.00,0.99,-,,0
